
  _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   SLprs,_inHG |   SLtmp,_degC |   _wind,speed |   _wind,__dir |   __trb,_locl |   _prec,_locl |   _hail,_locl |   AMprs,_inHG |   AMtmp,_degC |   LEtmp,_degC |   _dens,ratio |   ____A,_ktas |   ____Q,__psf |   gravi,_fts2 |   baro_,_inHG |   edens,_part |   vacum,ratio |   vacum,ratio |   _elec,ratio |   _elec,ratio |   _AHRS,ratio |   _AHRS,ratio |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign | 
      0.00000 |       0.02701 |       0.02703 |       0.02703 |       0.00000 |       0.03111 |       0.03111 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85962 |      14.98065 |      14.98065 |       0.99823 |     661.39545 |       0.00000 |      32.14645 |      29.86000 |       0.99822 |       1.26462 |       1.26462 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.08285 |       0.83543 |       1.00000 |      -4.82848 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.02390 |       0.02392 |       0.02392 |       0.00000 |       0.02752 |       0.02752 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85962 |      14.98065 |      14.98065 |       0.99823 |     661.39545 |       0.00000 |      32.14645 |      29.86000 |       0.99822 |       1.26310 |       1.26310 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.08585 |       0.83840 |       1.00000 |      -4.70826 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.02249 |       0.02251 |       0.02251 |       0.00000 |       0.02590 |       0.02590 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85961 |      14.98064 |      14.98065 |       0.99823 |     661.39545 |       0.00000 |      32.14645 |      29.86000 |       0.99822 |       1.26180 |       1.26180 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.08928 |       0.84182 |       1.00000 |      -4.61154 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.02428 |       0.02430 |       0.02430 |       0.00000 |       0.02797 |       0.02797 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85961 |      14.98064 |      14.98062 |       0.99823 |     661.39539 |       0.00000 |      32.14645 |      29.86000 |       0.99822 |       1.26042 |       1.26042 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09251 |       0.84507 |       1.00000 |      -4.51540 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.03020 |       0.03023 |       0.03023 |       0.00000 |       0.03479 |       0.03479 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85960 |      14.98063 |      14.98062 |       0.99823 |     661.39539 |       0.00000 |      32.14645 |      29.86000 |       0.99822 |       1.25933 |       1.25933 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09393 |       0.84651 |       1.00000 |      -4.44513 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.03672 |       0.03675 |       0.03675 |       0.00000 |       0.04230 |       0.04230 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85960 |      14.98063 |      14.98062 |       0.99823 |     661.39539 |       0.00000 |      32.14645 |      29.86000 |       0.99821 |       1.25836 |       1.25836 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09406 |       0.84667 |       1.00000 |      -4.38572 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.04113 |       0.04117 |       0.04117 |       0.00000 |       0.04738 |       0.04738 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85960 |      14.98063 |      14.98062 |       0.99823 |     661.39539 |       0.00001 |      32.14645 |      29.86000 |       0.99821 |       1.25749 |       1.25749 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09338 |       0.84631 |       1.00000 |      -4.33632 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.04318 |       0.04322 |       0.04322 |       0.00000 |       0.04973 |       0.04973 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85960 |      14.98063 |      14.98062 |       0.99823 |     661.39539 |       0.00001 |      32.14645 |      29.86000 |       0.99821 |       1.25668 |       1.25668 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09237 |       0.84524 |       1.00000 |      -4.29326 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.04346 |       0.04350 |       0.04350 |       0.00000 |       0.05006 |       0.05006 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85961 |      14.98064 |      14.98062 |       0.99823 |     661.39539 |       0.00001 |      32.14645 |      29.86000 |       0.99821 |       1.25597 |       1.25597 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09153 |       0.84442 |       1.00000 |      -4.25731 |     -37.50000 |     -74.00000 | 
      0.00000 |       0.04278 |       0.04282 |       0.04282 |       0.00000 |       0.04928 |       0.04928 |      29.91262 |      15.06800 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |      29.85961 |      14.98064 |      14.98065 |       0.99823 |     661.39545 |       0.00001 |      32.14645 |      29.86000 |       0.99821 |       1.25531 |       1.25531 |       1.00000 |       1.00000 |       1.00000 |       1.00000 |     -37.02663 |     -73.50541 |      44.09105 |       0.84414 |       1.00000 |      -4.22660 |     -37.50000 |     -74.00000 | 
